,date,time,group,subject,build,blocknum,trialnum,blockcode,trialcode,pretrialpause,posttrialpause,windowcenter,trialduration,trialtimeout,blocktimeout,response,correct,latency,inwindow
1,11417,12:43:43,107,107,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,22,1,2417,0
2,11417,12:43:43,107,107,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,3629,0
3,11417,14:43:24,108,108,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,25,1,2167,0
4,11417,14:43:24,108,108,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,2501,0
5,11317,16:20:23,105,105,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,23,1,4743,0
6,11317,16:20:23,105,105,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Female,1,6113,0
7,11417,00:18:20,104,104,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,56,1,6643,0
8,11417,00:18:20,104,104,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,31525,0
9,11417,00:14:21,103,103,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,28,1,2333,0
10,11417,00:14:21,103,103,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,2957,0
11,11417,00:13:11,100,100,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,44,1,3105,0
12,11417,00:13:11,100,100,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,4195,0
13,11317,18:12:51,99,99,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,23,1,3115,0
14,11317,18:12:51,99,99,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,4764,0
15,11417,00:10:09,96,96,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,34,1,1853,0
16,11417,00:10:09,96,96,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,2780,0
17,11417,11:09:02,98,98,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,24,1,3783,0
18,11417,11:09:02,98,98,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,3125,0
19,11317,18:55:38,94,94,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,56,1,3990,0
20,11317,18:55:38,94,94,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,2812,0
21,11317,23:55:45,95,95,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,36,1,2381,0
22,11317,23:55:45,95,95,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,2970,0
23,11317,17:52:22,93,93,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,22,1,3143,0
24,11317,17:52:22,93,93,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,3658,0
25,11317,15:52:21,91,91,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,56,1,3519,0
26,11317,15:52:21,91,91,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,female,1,6466,0
27,11317,23:52:00,92,92,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,31,1,4525,0
28,11317,23:52:00,92,92,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,5464,0
29,11317,18:52:03,81,81,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,28,1,3190,0
30,11317,18:52:03,81,81,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,female,1,2348,0
31,11317,18:51:39,88,88,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,25,1,2136,0
32,11317,18:51:39,88,88,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Female,1,7447,0
33,11317,23:50:10,85,85,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,49,1,3210,0
34,11317,23:50:10,85,85,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,3021,0
35,11317,18:49:31,70,70,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,47,1,4206,0
36,11317,18:49:31,70,70,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,female,1,4963,0
37,11317,23:47:53,79,79,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,52,1,4123,0
38,11317,23:47:53,79,79,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,5699,0
39,11317,18:47:27,72,72,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,40,1,4768,0
40,11317,18:47:27,72,72,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,5868,0
41,11317,15:43:00,48,48,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,31,1,2779,0
42,11317,15:43:00,48,48,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,2972,0
43,11317,23:47:56,69,69,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,34,1,4004,0
44,11317,23:47:56,69,69,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,female,1,4201,0
45,11317,23:47:17,75,75,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,29,1,9212,0
46,11317,23:47:17,75,75,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,female,1,4061,0
47,11317,23:47:26,61,61,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,30,1,5347,0
48,11317,23:47:26,61,61,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,5504,0
49,11317,17:47:13,80,80,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,29,1,2600,0
50,11317,17:47:13,80,80,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,2846,0
51,11317,23:47:17,83,83,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,18,1,2316,0
52,11317,23:47:17,83,83,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,Male,1,3264,0
53,11317,18:47:17,82,82,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,49,1,2899,0
54,11317,18:47:17,82,82,4.0.10.0,1,3,demographics,gender,0,0,0,0,0,0,male,1,2961,0
55,11317,23:46:29,74,74,4.0.10.0,1,2,demographics,age,0,0,0,0,0,0,59,1,6208,0
